,Date,Open,High,Low,Close,Adj Close,Volume,Amplitude
138,2020-07-22,104312.0,104980.0,103277.0,104290.0,104290.0,10833700.0,1703.0
139,2020-07-23,104291.0,104949.0,102119.0,102293.0,102293.0,10366600.0,2830.0
140,2020-07-24,102292.0,102694.0,100859.0,102382.0,102382.0,9795200.0,1835.0
141,2020-07-27,102381.0,104585.0,102381.0,104477.0,104477.0,9622400.0,2204.0
142,2020-07-28,104477.0,104663.0,103592.0,104109.0,104109.0,9087100.0,1071.0
143,2020-07-29,104112.0,105704.0,104112.0,105605.0,105605.0,9238300.0,1592.0
144,2020-07-30,105605.0,105607.0,103920.0,105009.0,105009.0,9591700.0,1687.0
145,2020-07-31,105010.0,105462.0,102642.0,102912.0,102912.0,12929300.0,2820.0
146,2020-08-03,102913.0,103863.0,102304.0,102830.0,102830.0,10901000.0,1559.0
147,2020-08-04,102826.0,103012.0,100005.0,101216.0,101216.0,12029800.0,3007.0
148,2020-08-05,101220.0,103763.0,101220.0,102802.0,102802.0,10922100.0,2543.0
149,2020-08-06,102733.0,104523.0,102733.0,104126.0,104126.0,9686600.0,1790.0
150,2020-08-07,104116.0,104126.0,101957.0,102776.0,102776.0,10337100.0,2169.0
151,2020-08-10,102776.0,103722.0,101282.0,103444.0,103444.0,8259500.0,2440.0
152,2020-08-11,103449.0,104409.0,102174.0,102174.0,102174.0,9360900.0,2235.0
153,2020-08-12,102176.0,103116.0,100698.0,102118.0,102118.0,10114200.0,2418.0
154,2020-08-13,102118.0,103237.0,100187.0,100461.0,100461.0,10721300.0,3050.0
155,2020-08-14,100469.0,101717.0,100445.0,101353.0,101353.0,8576300.0,1272.0
156,2020-08-17,101348.0,101689.0,98513.0,99595.0,99595.0,10816200.0,3176.0
157,2020-08-18,99597.0,102247.0,99597.0,102065.0,102065.0,9418700.0,2650.0
158,2020-08-19,102072.0,102334.0,100800.0,100854.0,100854.0,10025800.0,1534.0
159,2020-08-20,100853.0,101749.0,99131.0,101468.0,101468.0,9405000.0,2618.0
160,2020-08-21,101460.0,101566.0,100412.0,101521.0,101521.0,9100200.0,1154.0
161,2020-08-24,101525.0,102515.0,101525.0,102298.0,102298.0,7723000.0,990.0
162,2020-08-25,102293.0,102708.0,101623.0,102118.0,102118.0,8170900.0,1085.0
163,2020-08-26,102119.0,102521.0,99359.0,100627.0,100627.0,9861200.0,3162.0
164,2020-08-27,100625.0,101548.0,99857.0,100624.0,100624.0,7360600.0,1691.0
165,2020-08-28,100631.0,102347.0,100631.0,102143.0,102143.0,7665700.0,1716.0
166,2020-08-31,102142.0,102142.0,99369.0,99369.0,99369.0,12226100.0,2773.0
167,2020-09-01,99382.0,102238.0,99382.0,102168.0,102168.0,9384700.0,2856.0
168,2020-09-02,102168.0,102824.0,100872.0,101911.0,101911.0,7557900.0,1952.0
169,2020-09-03,101911.0,103226.0,99751.0,100721.0,100721.0,12611000.0,3475.0
170,2020-09-04,100733.0,101582.0,98961.0,101242.0,101242.0,11327400.0,2621.0
171,2020-09-08,101239.0,101239.0,99373.0,100050.0,100050.0,8479000.0,1866.0
172,2020-09-09,100050.0,101578.0,100050.0,101292.0,101292.0,7955600.0,1528.0
173,2020-09-10,101291.0,101536.0,98687.0,98835.0,98835.0,8894600.0,2849.0
174,2020-09-11,98839.0,99435.0,97758.0,98363.0,98363.0,9107900.0,1677.0
175,2020-09-14,98367.0,100520.0,98367.0,100275.0,100275.0,8182100.0,2153.0
176,2020-09-15,100277.0,100949.0,99647.0,100298.0,100298.0,9216700.0,1302.0
177,2020-09-16,100299.0,100663.0,99663.0,99676.0,99676.0,7139400.0,1000.0
178,2020-09-17,99674.0,100251.0,98562.0,100098.0,100098.0,0.0,1689.0
179,2020-09-18,100098.0,100102.0,98045.0,98290.0,98290.0,11370300.0,2057.0
180,2020-09-21,98283.0,98283.0,95820.0,96991.0,96991.0,9738000.0,2463.0
181,2020-09-22,96995.0,97684.0,96390.0,97294.0,97294.0,7281300.0,1294.0
182,2020-09-23,97294.0,97389.0,95728.0,95735.0,95735.0,8830700.0,1661.0
183,2020-09-24,95735.0,97955.0,95653.0,97012.0,97012.0,9331000.0,2302.0
184,2020-09-25,97011.0,97012.0,95632.0,96999.0,96999.0,7351100.0,1380.0
185,2020-09-28,97005.0,98314.0,94371.0,94666.0,94666.0,10508900.0,3943.0
186,2020-09-29,94665.0,95505.0,93408.0,93580.0,93580.0,8737200.0,2097.0
